Date,High,Low,Open,Close,Volume,Adj Close
09-12-2004,4.321303,4.196022,4.240356,4.319559,307307563,4.319559
10-12-2004,4.355674,4.266259,4.319559,4.275225,173335277,4.275225
13-12-2004,4.313333,4.220431,4.288177,4.245337,193466452,4.245337
14-12-2004,4.453806,4.224167,4.259036,4.450568,445198482,4.450568
15-12-2004,4.500381,4.400008,4.433134,4.477716,460559845,4.477716
16-12-2004,4.4954,4.382324,4.407231,4.395275,344197318,4.395275
17-12-2004,4.495649,4.397268,4.402498,4.485188,296555412,4.485188
20-12-2004,4.693906,4.529771,4.533009,4.608227,394854485,4.608227
21-12-2004,4.67946,4.567878,4.640357,4.576596,221479058,4.576596
22-12-2004,4.653806,4.558165,4.580332,4.640108,156865776,4.640108
23-12-2004,4.697393,4.632636,4.66875,4.679958,145125936,4.679958
27-12-2004,4.814454,4.709846,4.711092,4.779834,245079187,4.779834
28-12-2004,4.820681,4.757418,4.784815,4.801005,166453579,4.801005
29-12-2004,4.819934,4.776596,4.776596,4.804492,107525527,4.804492
30-12-2004,4.937244,4.77834,4.806235,4.921553,237057231,4.921553
31-12-2004,4.97834,4.796023,4.962151,4.801752,307889737,4.801752
03-01-2005,5.071989,4.868253,4.916571,5.048826,636143518,5.048826
04-01-2005,5.054305,4.818937,5.016198,4.844342,552298420,4.844342
05-01-2005,4.904118,4.787804,4.81819,4.819685,330698912,4.819685
06-01-2005,4.879212,4.675475,4.858788,4.696148,417041336,4.696148
07-01-2005,4.838116,4.701876,4.748203,4.828153,387964757,4.828153
10-01-2005,4.934006,4.777841,4.844342,4.85829,302714411,4.85829
11-01-2005,4.924293,4.811465,4.872238,4.820432,279391317,4.820432
12-01-2005,4.879959,4.744716,4.840108,4.86626,328338096,4.86626
13-01-2005,4.916322,4.833134,4.86626,4.865015,275002929,4.865015
14-01-2005,4.981578,4.835127,4.881702,4.980582,387057368,4.980582
18-01-2005,5.10636,4.947954,5.005488,5.078465,528878966,5.078465
19-01-2005,5.113334,4.899386,5.097145,4.914081,451995865,4.914081
20-01-2005,4.887929,4.782076,4.794529,4.829896,361413608,4.829896
21-01-2005,4.865762,4.685438,4.845338,4.689423,371724110,4.689423
24-01-2005,4.715575,4.491166,4.699635,4.501129,563010421,4.501129
25-01-2005,4.538987,4.390792,4.531515,4.411465,427966132,4.411465
26-01-2005,4.717567,4.462025,4.465014,4.713333,494161321,4.713333
